appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
0,0,2.564949357,0,2.890371758,0,0,0,7.49,2.69,3.59,0.6,7.49,0.9,5.69,2.4,2.69
0,1.945910149,3.33220451,0,2.63905733,2.995732274,1.386294361,0.693147181,7.7,2.67,6.22,0.89,4.89,1.93,1.19,1.78,4.44
0,0.693147181,2.079441542,0,2.708050201,0.693147181,1.098612289,0,9.16,1.43,3.26,1.83,6.31,2.44,1.83,0.81,2.24
0,1.386294361,2.833213344,1.609437912,2.63905733,1.945910149,0,0.693147181,9.47,2.67,6.31,1.7,6.55,0.97,1.7,2.18,6.31
0,0,1.098612289,0,2.944438979,1.098612289,0,0,7.27,2.6,2.6,2.34,4.42,2.6,2.86,3.12,1.04
0,0,0,1.098612289,1.609437912,1.098612289,0.693147181,1.098612289,0,2.21,0,9.07,0.25,0.49,4.9,2.94,4.41
0.693147181,3.044522438,1.098612289,0,2.397895273,0,0.693147181,0,6.58,2.76,3.18,1.7,3.18,1.06,2.97,1.49,0.85
0,2.772588722,2.302585093,0,2.397895273,0.693147181,0,1.386294361,10.95,2.9,2.9,1.93,4.51,1.93,0.81,1.61,1.77
0,1.098612289,1.098612289,0,1.098612289,0,0,0,5.49,3.49,5.49,2.24,5.24,2.99,1.25,1.5,0.75
0,3.218875825,1.386294361,0.693147181,2.708050201,0,0,0,9.32,1.24,2.69,0.62,5.8,4.55,2.07,1.45,1.04
0,1.791759469,2.564949357,0,2.197224577,0,0,0,7.76,2.65,2.65,1.43,4.9,3.67,2.86,1.43,3.27
0,2.48490665,2.302585093,0,2.302585093,0,2.079441542,0,7.24,2.59,2.59,0.69,5.86,3.97,1.38,3.1,1.55
0,0,2.995732274,0,1.098612289,0,0,0,9.88,2.8,4.45,2.47,2.64,3.29,4.12,3.95,1.81
0,1.098612289,3.258096538,0,1.945910149,1.609437912,0,0.693147181,7.07,3.44,4.21,2.49,6.12,3.06,2.68,0.76,5.93
0,2.995732274,2.833213344,1.609437912,2.564949357,0,0,0,6.75,1.69,5.06,0.42,5.91,2.95,2.95,3.38,4.22
0,2.197224577,1.386294361,0.693147181,2.197224577,0,1.098612289,0,8.33,2.13,4.26,0.78,4.07,2.33,2.33,1.74,1.16
0,1.098612289,2.995732274,0,2.833213344,2.079441542,1.609437912,1.609437912,7.59,5.88,5.12,0.38,5.88,4.74,1.71,1.14,4.36
0,0,2.302585093,0,2.564949357,0,0,0.693147181,8.12,3.85,3.21,0.85,4.06,2.99,5.56,1.28,2.35
0,0,2.302585093,0,1.098612289,0,0.693147181,0,10.68,2.14,2.56,0.64,5.77,0.64,2.14,2.78,1.71
0,0,1.791759469,0,2.890371758,0,0,0,6.76,1.74,1.16,1.54,4.63,2.32,1.16,2.51,0.97
0,1.098612289,2.995732274,1.098612289,3.63758616,1.386294361,0,0,10.34,2.39,4.77,0.99,2.98,0.8,1.39,2.39,4.97
0,3.17805383,3.17805383,0,2.833213344,0,0,1.098612289,7.35,1.8,3.59,0.16,5.56,1.47,1.63,0.82,3.76
0,2.397895273,3.135494216,1.386294361,2.397895273,1.098612289,2.772588722,0,8.06,2.75,3.14,0.59,7.47,2.75,2.36,0.79,5.3
0,2.772588722,2.708050201,0,2.63905733,0,0.693147181,0,8.18,1.5,3.51,1.67,3.67,1.67,2,2.67,2.67
0,2.079441542,2.63905733,0,1.609437912,1.945910149,2.079441542,0,7.56,3.68,5.81,1.74,5.81,1.74,2.91,1.55,4.26
0.693147181,1.791759469,3.295836866,0,2.302585093,0,0.693147181,0,9.21,3.5,2.39,1.1,5.52,1.29,1.66,0.74,4.97
0,1.791759469,1.791759469,0.693147181,1.791759469,0,1.098612289,0,9.5,2.57,2.77,0.99,4.75,2.57,2.18,0.99,1.19
0,1.945910149,2.197224577,0,1.791759469,0,0,0,8.69,1.98,3.35,3.2,2.9,1.22,2.59,1.37,1.22
0,1.386294361,2.564949357,0,2.397895273,0.693147181,1.791759469,0.693147181,7.56,3.97,2.65,2.27,5.86,2.84,2.08,1.51,2.27
0,1.609437912,2.564949357,0,1.945910149,0.693147181,0,0,4.07,1.79,5.53,0.81,5.85,1.79,3.9,1.63,2.6
0,1.098612289,0,0,1.945910149,1.945910149,0,1.098612289,11.86,3.15,5.57,1.45,7.02,3.15,2.66,1.21,0.97
1.098612289,0,1.098612289,0,2.397895273,0,0,0,7.73,1.75,2.99,2,4.24,2.49,2.24,2,0.75
0,1.609437912,1.791759469,0,2.397895273,0,0,0,7.43,2.48,2.48,1.24,5.57,1.55,1.86,2.17,0.93
1.098612289,2.302585093,2.708050201,1.098612289,2.48490665,1.609437912,0.693147181,0.693147181,9.53,2.26,6.79,1.62,4.04,1.29,2.26,0.97,2.91
0,2.63905733,2.397895273,1.098612289,1.945910149,1.386294361,1.386294361,0,7.72,3.28,4.25,0.39,3.67,1.74,1.93,0.97,4.44
0,2.397895273,3.091042453,0,1.609437912,1.098612289,0,0.693147181,9.2,2.53,6.9,1.15,4.6,3.68,2.76,3.91,3.91
0,2.564949357,2.397895273,0,2.944438979,0,0.693147181,0,6.16,1.72,2.22,0.99,4.68,2.46,1.48,1.23,4.43
0,0,2.890371758,1.098612289,2.197224577,2.772588722,0.693147181,0,9.61,3.88,5.36,0.92,5.73,2.96,4.07,2.96,4.62
0,1.386294361,2.63905733,0.693147181,1.945910149,1.098612289,0,1.098612289,8.23,2.61,5.02,0.8,4.22,2.61,3.01,3.21,3.41
0,1.945910149,2.197224577,0,2.397895273,1.098612289,0,0,7.49,3.75,4.45,0.7,3.51,2.34,2.58,0.94,2.81
0,2.397895273,1.098612289,0,2.397895273,0,1.945910149,0,10.06,2.85,3.04,0,5.5,3.42,2.09,1.52,3.04
0,1.609437912,1.609437912,1.098612289,2.48490665,0.693147181,0,1.386294361,8.7,2.59,3.15,2.22,5.74,1.48,3.15,0.93,2.41
0,2.833213344,1.386294361,0,2.564949357,0,0.693147181,0,7.17,1.9,1.9,2.32,4.22,1.69,2.11,2.53,4.01
0,2.397895273,3.218875825,0.693147181,1.945910149,1.609437912,0,1.098612289,8.35,4.07,4.07,1.93,3.85,1.5,4.93,1.5,7.28
0,2.890371758,2.63905733,0,1.098612289,0.693147181,0,0,7.33,1.63,3.75,2.93,4.72,2.77,2.61,2.28,4.4
0,1.609437912,1.791759469,0,2.772588722,2.197224577,0,0,6.64,2.43,5.31,0.88,4.87,1.77,2.65,1.99,1.77
0,2.708050201,2.48490665,0,1.945910149,1.386294361,0.693147181,0,6.9,1.84,5.75,2.07,3.68,2.3,2.07,4.6,5.29
0,0,0,0,2.63905733,0,0,0,8.64,3.46,2.81,1.08,3.89,2.38,3.89,1.3,0.86
0,0.693147181,1.609437912,0,1.386294361,0,0,0,10.95,3.53,1.24,1.41,3.36,3.36,3.89,1.77,0.18
0,2.397895273,2.63905733,0,2.833213344,1.098612289,1.386294361,1.791759469,7.29,3.12,5.83,0.42,6.04,2.71,3.12,1.25,3.96
0,0,1.098612289,0.693147181,2.63905733,0,0,0,7.13,2.06,3,1.88,3.56,2.81,1.31,2.25,0.75
0,0,2.197224577,0,1.098612289,0,0,0,9.27,1.27,2.55,2.55,4.18,2.91,1.82,1.45,2
0,3.135494216,2.772588722,0,2.564949357,0,2.079441542,1.098612289,9.2,2.84,4.68,1.34,5.69,2.17,3.85,1.84,2.51
0,2.197224577,2.397895273,0,1.386294361,0,0,0,6.89,1.31,3.28,0.98,4.26,1.64,3.44,1.15,3.28
0,1.386294361,3.218875825,1.609437912,2.079441542,0,0.693147181,0,8.69,1.93,2.9,1.16,4.44,2.32,4.63,0.77,6.56
0,2.197224577,2.890371758,0,2.397895273,0,1.791759469,1.386294361,8.8,2.12,5.16,0.91,5.01,2.43,2.43,3.34,2.58
0,1.386294361,1.945910149,0.693147181,3.044522438,0,1.609437912,1.386294361,9.02,3.38,3.38,1.13,6.58,1.88,3.01,2.44,2.63
0,1.791759469,2.995732274,0.693147181,2.197224577,0,0,0,9.92,2.95,4.03,0.47,3.72,1.86,3.72,2.02,4.34
0,0,1.945910149,0,0,0,1.609437912,0,8.76,2.32,2.32,1.03,5.93,2.58,1.8,2.84,2.58
0,2.079441542,2.397895273,0,2.302585093,0.693147181,0.693147181,0,11.79,2.36,2.16,1.96,3.54,1.57,4.32,1.96,1.57
0,1.609437912,2.833213344,1.386294361,1.945910149,1.791759469,0,0,7.96,1.02,4.9,0.61,2.65,4.08,4.29,1.63,4.29
