,index,condition,pair_id,topic,turn_txt,round,time,inter_num,tokenized_text,word_counts,agent,time_label,appre_c,affir_c,assent_c,aggree_c,fillpause_c,laugh_c,yknow_c,idknow_c,appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log,conj,negate,posemo,negemo,insight,cause,discrep,certain,assent
10,2,NB,7,5,"Ok, umm, another thing I was thinking about is, even when like you don't say specifically what your race is or like what your background is, or anything, a lot of times based on like stuff that ends up coming out in your essays are like based on what your name is even like, do you think like it should just like take off your name when they're looking at that application? Because I feel like a lot of times just based on the name like, you can tell.",3,122,0,"['Ok', 'umm', 'another', 'thing', 'I', 'was', 'thinking', 'about', 'is', 'even', 'when', 'like', 'you', 'do', ""n't"", 'say', 'specifically', 'what', 'your', 'race', 'is', 'or', 'like', 'what', 'your', 'background', 'is', 'or', 'anything', 'a', 'lot', 'of', 'times', 'based', 'on', 'like', 'stuff', 'that', 'ends', 'up', 'coming', 'out', 'in', 'your', 'essays', 'are', 'like', 'based', 'on', 'what', 'your', 'name', 'is', 'even', 'like', 'do', 'you', 'think', 'like', 'it', 'should', 'just', 'like', 'take', 'off', 'your', 'name', 'when', 'they', ""'re"", 'looking', 'at', 'that', 'application', 'Because', 'I', 'feel', 'like', 'a', 'lot', 'of', 'times', 'just', 'based', 'on', 'the', 'name', 'like', 'you', 'can', 'tell']",91,A,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.62,1.12,1.12,0,3.37,4.49,1.12,1.12,1.12
11,2,NB,7,5,. Ok. ,4,161,0,['Ok'],1,A,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,100,0,0,0,0,0,100
12,3,TYB,8,7,"Oh wow Okay, well, I give it an eight so..I mean like in some cases when I'm really in hurry  someone's really in hurry I think they should be able to cross and there's like absolutely no cars inside, but in general, but in general..I don't think people should do that.",1,0,0,"['Oh', 'wow', 'Okay', 'well', 'I', 'give', 'it', 'an', 'eight', 'so', 'I', 'mean', 'like', 'in', 'some', 'cases', 'when', 'I', ""'m"", 'really', 'in', 'hurry', 'someone', ""'s"", 'really', 'in', 'hurry', 'I', 'think', 'they', 'should', 'be', 'able', 'to', 'cross', 'and', 'there', ""'s"", 'like', 'absolutely', 'no', 'cars', 'inside', 'but', 'in', 'general', 'but', 'in', 'general', 'I', 'do', ""n't"", 'think', 'people', 'should', 'do', 'that']",57,A,1,0,2,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,0,9.43,3.77,5.66,0,5.66,0,3.77,1.89,3.77
13,3,TYB,8,7,"Um because maybe a car will be coming very fast..or they like but they can't like break like if they see you crossing like especially walking and they couldn't break in time and it might cause an accident or if everyone does that, it's going to be quite chaotic on the street but ",2,33,0,"['Um', 'because', 'maybe', 'a', 'car', 'will', 'be', 'coming', 'very', 'fast', 'or', 'they', 'like', 'but', 'they', 'ca', ""n't"", 'like', 'break', 'like', 'if', 'they', 'see', 'you', 'crossing', 'like', 'especially', 'walking', 'and', 'they', 'could', ""n't"", 'break', 'in', 'time', 'and', 'it', 'might', 'cause', 'an', 'accident', 'or', 'if', 'everyone', 'does', 'that', 'it', ""'s"", 'going', 'to', 'be', 'quite', 'chaotic', 'on', 'the', 'street', 'but']",57,A,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.67,3.70,1.85,0,0,3.7,5.56,3.7,0
14,3,TYB,8,7,And that's my reason ,3,60,0,"['And', 'that', ""'s"", 'my', 'reason']",5,A,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.00,0,0,25,25,0,0,0
15,3,TYB,8,7,"Yeah, that may makes sense before. I mean there's absolutely no cars that are in sight then I think you can cross if you're in a hurry [laughs].  ",4,88,0,"['Yeah', 'that', 'may', 'makes', 'sense', 'before', 'I', 'mean', 'there', ""'s"", 'absolutely', 'no', 'cars', 'that', 'are', 'in', 'sight', 'then', 'I', 'think', 'you', 'can', 'cross', 'if', 'you', ""'re"", 'in', 'a', 'hurry', 'laughs']",30,A,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.14,3.57,3.57,0,10.71,3.57,3.57,3.57,7.14
16,3,TYB,8,7,"Um, okay [laughs].",5,109,0,"['Um', 'okay', 'laughs']",3,A,4,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.00,66.67,0,0,0,0,0,33.33
17,3,TYB,8,7,"I see I see. Yeah, I just think there's a..I don't know a  certain rules like if you were I'm a ..I tend to follow them sometimes.",6,115,0,"['I', 'see', 'I', 'see', 'Yeah', 'I', 'just', 'think', 'there', ""'s"", 'a', 'I', 'do', ""n't"", 'know', 'a', 'certain', 'rules', 'like', 'if', 'you', 'were', 'I', ""'m"", 'a', 'I', 'tend', 'to', 'follow', 'them', 'sometimes']",31,A,4,0,0,3,0,0,0,0,1,0,0,1.098612289,0,0,0,0,0,3.57,3.57,3.57,0,7.14,0,3.57,3.57,3.57
18,3,TYB,8,7,"Yea, yea, driver's radio I hate that and I think that if people just came out of nowhere it could be dangerous for them.",7,137,0,"['Yea', 'yea', 'driver', ""'s"", 'radio', 'I', 'hate', 'that', 'and', 'I', 'think', 'that', 'if', 'people', 'just', 'came', 'out', 'of', 'nowhere', 'it', 'could', 'be', 'dangerous', 'for', 'them']",25,A,5,0,0,2,0,0,0,0,0,0,0,0.693147181,0,0,0,0,0,8.33,4.17,0,8.33,4.17,0,8.33,4.17,8.33
19,3,TYB,8,7,"Even with the red light, they won't stop freely.",8,159,0,"['Even', 'with', 'the', 'red', 'light', 'they', 'wo', ""n't"", 'stop', 'freely']",10,A,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,11.11,0,0,0,0,0,0
20,4,TYB,11,9,"I just strongly believe in the right to um {{}} dignity. And so yeah, I agree with with the idea that physician assisted suicide should be legal. Um I think it's important that like, I don't know, from personal experience like seeing people who are like suffering when they're like in old age and like dying to know that they should be allowed to do something. ",1,0,0,"['I', 'just', 'strongly', 'believe', 'in', 'the', 'right', 'to', 'um', 'dignity', 'And', 'so', 'yeah', 'I', 'agree', 'with', 'with', 'the', 'idea', 'that', 'physician', 'assisted', 'suicide', 'should', 'be', 'legal', 'Um', 'I', 'think', 'it', ""'s"", 'important', 'that', 'like', 'I', 'do', ""n't"", 'know', 'from', 'personal', 'experience', 'like', 'seeing', 'people', 'who', 'are', 'like', 'suffering', 'when', 'they', ""'re"", 'like', 'in', 'old', 'age', 'and', 'like', 'dying', 'to', 'know', 'that', 'they', 'should', 'be', 'allowed', 'to', 'do', 'something']",68,A,1,0,0,2,1,2,0,0,1,0,0,0.693147181,0,0.693147181,0,0,0,6.15,1.54,6.15,1.54,7.69,1.54,3.08,0,3.08
21,4,TYB,11,9,"That makes sense. Yea, it's like normalizing the idea of like suicide. Which, yeah, I guess some people might not see it as a last resort anymore. They might just treat it as like something that they could do  just go out and like run to Walgreens [laugh]. ",2,37,0,"['That', 'makes', 'sense', 'Yea', 'it', ""'s"", 'like', 'normalizing', 'the', 'idea', 'of', 'like', 'suicide', 'Which', 'yeah', 'I', 'guess', 'some', 'people', 'might', 'not', 'see', 'it', 'as', 'a', 'last', 'resort', 'anymore', 'They', 'might', 'just', 'treat', 'it', 'as', 'like', 'something', 'that', 'they', 'could', 'do', 'just', 'go', 'out', 'and', 'like', 'run', 'to', 'Walgreens', 'laugh']",49,A,2,0,0,2,0,0,1,0,0,0,0,0.693147181,0,0,0,0,0,6.25,2.08,4.17,0,4.17,2.08,2.08,0,4.17
22,4,TYB,11,9,"Yeah, like I think personally, I just was imagining it being like a really regulated process, um where you have to, like still demonstrate like you like that this is the last resort. Um and also because like yeah, like I know that there's like a lot of potential for abuse. Like if you just like, like if you convince your significant other  like that one {{}} [laugh]. Do you know what I'm talking about? ",3,78,0,"['Yeah', 'like', 'I', 'think', 'personally', 'I', 'just', 'was', 'imagining', 'it', 'being', 'like', 'a', 'really', 'regulated', 'process', 'um', 'where', 'you', 'have', 'to', 'like', 'still', 'demonstrate', 'like', 'you', 'like', 'that', 'this', 'is', 'the', 'last', 'resort', 'Um', 'and', 'also', 'because', 'like', 'yeah', 'like', 'I', 'know', 'that', 'there', ""'s"", 'like', 'a', 'lot', 'of', 'potential', 'for', 'abuse', 'Like', 'if', 'you', 'just', 'like', 'like', 'if', 'you', 'convince', 'your', 'significant', 'other', 'like', 'that', 'one', 'laugh', 'Do', 'you', 'know', 'what', 'I', ""'m"", 'talking', 'about']",76,A,3,0,0,1,0,2,1,1,0,0,0,0,0,0.693147181,0,0,0,6.76,0.00,2.7,1.35,6.76,1.35,2.7,0,2.7
23,4,TYB,11,9,"Well OK like this guy..like this chick convinced her boyfriend to like off himself. . And I feel like yeah, there's just a lot of potential for abuse because it becomes this easy and like painless, then there there might be an issue, which is I think there needs to be a lot of layers of regulation. Um but yeah, something that I feel like um kind of has a lot of like it actually they have this not like several other countries and mostly people who like ah look at the prescription for example like don't necessarily won't even use it um they'll just like feel better having it there. ",4,96,0,"['Well', 'OK', 'like', 'this', 'guy', 'like', 'this', 'chick', 'convinced', 'her', 'boyfriend', 'to', 'like', 'off', 'himself', 'And', 'I', 'feel', 'like', 'yeah', 'there', ""'s"", 'just', 'a', 'lot', 'of', 'potential', 'for', 'abuse', 'because', 'it', 'becomes', 'this', 'easy', 'and', 'like', 'painless', 'then', 'there', 'there', 'might', 'be', 'an', 'issue', 'which', 'is', 'I', 'think', 'there', 'needs', 'to', 'be', 'a', 'lot', 'of', 'layers', 'of', 'regulation', 'Um', 'but', 'yeah', 'something', 'that', 'I', 'feel', 'like', 'um', 'kind', 'of', 'has', 'a', 'lot', 'of', 'like', 'it', 'actually', 'they', 'have', 'this', 'not', 'like', 'several', 'other', 'countries', 'and', 'mostly', 'people', 'who', 'like', 'ah', 'look', 'at', 'the', 'prescription', 'for', 'example', 'like', 'do', ""n't"", 'necessarily', 'wo', ""n't"", 'even', 'use', 'it', 'um', 'they', ""'ll"", 'just', 'like', 'feel', 'better', 'having', 'it', 'there']",115,A,4,0,1,1,0,3,0,0,0,0,0,0,0,1.098612289,0,0,0,5.5,2.75,4.59,0.92,5.5,1.83,0.92,0.92,3.67
24,4,TYB,11,9,"I think like most people, for most people it might be like a just kind of a um.. like I think it just it would still be like kind of a last resort like like as in like like you would just like a lot of people at least from anecdotally like they take comfort in having the like the option..um but then, like they just feel more secure with their {{}}.. ",5,144,0,"['I', 'think', 'like', 'most', 'people', 'for', 'most', 'people', 'it', 'might', 'be', 'like', 'a', 'just', 'kind', 'of', 'a', 'um', 'like', 'I', 'think', 'it', 'just', 'it', 'would', 'still', 'be', 'like', 'kind', 'of', 'a', 'last', 'resort', 'like', 'like', 'as', 'in', 'like', 'like', 'you', 'would', 'just', 'like', 'a', 'lot', 'of', 'people', 'at', 'least', 'from', 'anecdotally', 'like', 'they', 'take', 'comfort', 'in', 'having', 'the', 'like', 'the', 'option', 'um', 'but', 'then', 'like', 'they', 'just', 'feel', 'more', 'secure', 'with', 'their']",72,A,5,0,0,0,0,2,0,0,0,0,0,0,0,0.693147181,0,0,0,4.29,0.00,2.86,0,4.29,0,2.86,0,0
25,4,TYB,11,9,"Oh, yeah, so, I think it would have to be mandated {{}}.",6,175,0,"['Oh', 'yeah', 'so', 'I', 'think', 'it', 'would', 'have', 'to', 'be', 'mandated']",11,A,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0.00,0,0,9.09,0,9.09,0,9.09
26,5,NB,12,12,". OK . . Sure . . Mhmm. . Personally I thought that like, although like we're on a college campus, like um drinking it very like it's like what like what you said drinking is very um, like we think it's like happening a lot right? Because it's like, just like fraternities and sororities that  have events where it's people like, like drink right? But like, I-I think like, like, like that's not necessarily true because like I still like me personally. Like I know a lot of people who like don't do it just because it's the law too, . So like if the law isn't there like like like whether people who are religious or whether people who are like, I don't we just don't we just like, we don't want to like, like I don't know, how do you say this? Like, go against the law or something? But like, if you lower it, like, like how much lower would you want it to be like 19? Like, like, uhh ",1,20,0,"['OK', 'Sure', 'Mhmm', 'Personally', 'I', 'thought', 'that', 'like', 'although', 'like', 'we', ""'re"", 'on', 'a', 'college', 'campus', 'like', 'um', 'drinking', 'it', 'very', 'like', 'it', ""'s"", 'like', 'what', 'like', 'what', 'you', 'said', 'drinking', 'is', 'very', 'um', 'like', 'we', 'think', 'it', ""'s"", 'like', 'happening', 'a', 'lot', 'right', 'Because', 'it', ""'s"", 'like', 'just', 'like', 'fraternities', 'and', 'sororities', 'that', 'have', 'events', 'where', 'it', ""'s"", 'people', 'like', 'like', 'drink', 'right', 'But', 'like', 'I', 'I', 'think', 'like', 'like', 'like', 'that', ""'s"", 'not', 'necessarily', 'true', 'because', 'like', 'I', 'still', 'like', 'me', 'personally', 'Like', 'I', 'know', 'a', 'lot', 'of', 'people', 'who', 'like', 'do', ""n't"", 'do', 'it', 'just', 'because', 'it', ""'s"", 'the', 'law', 'too', 'So', 'like', 'if', 'the', 'law', 'is', ""n't"", 'there', 'like', 'like', 'like', 'whether', 'people', 'who', 'are', 'religious', 'or', 'whether', 'people', 'who', 'are', 'like', 'I', 'do', ""n't"", 'we', 'just', 'do', ""n't"", 'we', 'just', 'like', 'we', 'do', ""n't"", 'want', 'to', 'like', 'like', 'I', 'do', ""n't"", 'know', 'how', 'do', 'you', 'say', 'this', 'Like', 'go', 'against', 'the', 'law', 'or', 'something', 'But', 'like', 'if', 'you', 'lower', 'it', 'like', 'like', 'how', 'much', 'lower', 'would', 'you', 'want', 'it', 'to', 'be', 'like', '19', 'Like', 'like', 'uhh']",181,A,1,0,2,1,0,3,0,0,1,0,0.693147181,0,0,1.098612289,0,0,0,9.58,4.19,2.4,1.2,2.99,2.99,2.99,1.8,1.2
27,5,NB,12,12,"I just feel like .  People have that like conception of like, oh, if you're in college you're gonna drink? Well, I don't think that's true. I-I, it's partially true, but I don't think that's like, that statement could be generalized for the entire populationof college students. ",2,98,0,"['I', 'just', 'feel', 'like', 'People', 'have', 'that', 'like', 'conception', 'of', 'like', 'oh', 'if', 'you', ""'re"", 'in', 'college', 'you', ""'re"", 'gon', 'na', 'drink', 'Well', 'I', 'do', ""n't"", 'think', 'that', ""'s"", 'true', 'I', 'I', 'it', ""'s"", 'partially', 'true', 'but', 'I', 'do', ""n't"", 'think', 'that', ""'s"", 'like', 'that', 'statement', 'could', 'be', 'generalized', 'for', 'the', 'entire', 'populationof', 'college', 'students']",55,A,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,4.26,6.38,0,8.51,0,4.26,6.38,0
28,5,NB,12,12,"Yeah, definitely",3,145,0,"['Yeah', 'definitely']",2,A,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,50,0,0,0,0,50,50
29,5,NB,12,12,Alright we're almost there. ,4,152,0,"['Alright', 'we', ""'re"", 'almost', 'there']",5,A,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,25,0,0,0,0,0,25
30,5,NB,12,12,"Yeah, cuz like I'm from China and um, I went back like with my family of years ago. And like I was of age in China. . But like, I don't it it still felt weird to me because like, I usually don't drink. . So like the fact that I was still legal but then like I live here, so I felt ",5,155,0,"['Yeah', 'cuz', 'like', 'I', ""'m"", 'from', 'China', 'and', 'um', 'I', 'went', 'back', 'like', 'with', 'my', 'family', 'of', 'years', 'ago', 'And', 'like', 'I', 'was', 'of', 'age', 'in', 'China', 'But', 'like', 'I', 'do', ""n't"", 'it', 'it', 'still', 'felt', 'weird', 'to', 'me', 'because', 'like', 'I', 'usually', 'do', ""n't"", 'drink', 'So', 'like', 'the', 'fact', 'that', 'I', 'was', 'still', 'legal', 'but', 'then', 'like', 'I', 'live', 'here', 'so', 'I', 'felt']",64,A,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,14.75,3.28,0,1.64,3.28,3.28,0,1.64,1.64
