,con_txt,condition,label,topic,agent,appre_c,affir_c,assent_c,aggree_c,fillpause_c,laugh_c,yknow_c,idknow_c,appre_log,affir_log,assent_log,aggree_log,fillpause_log,laugh_log,yknow_log,idknow_log
10,". OK . . Sure . . Mhmm. . Personally I thought that like, although like we're on a college campus, like um drinking it very like it's like what like what you said drinking is very um, like we think it's like happening a lot right? Because it's like, just like fraternities and sororities that  have events where it's people like, like drink right? But like, I-I think like, like, like that's not necessarily true because like I still like me personally. Like I know a lot of people who like don't do it just because it's the law too, . So like if the law isn't there like like like whether people who are religious or whether people who are like, I don't we just don't we just like, we don't want to like, like I don't know, how do you say this? Like, go against the law or something? But like, if you lower it, like, like how much lower would you want it to be like 19? Like, like, uhh  I just feel like .  People have that like conception of like, oh, if you're in college you're gonna drink? Well, I don't think that's true. I-I, it's partially true, but I don't think that's like, that statement could be generalized for the entire populationof college students.  Yeah, definitely Alright we're almost there.  Yeah, cuz like I'm from China and um, I went back like with my family of years ago. And like I was of age in China. . But like, I don't it it still felt weird to me because like, I usually don't drink. . So like the fact that I was still legal but then like I live here, so I felt ",NB,A_6,12,A,0,3,3,0,4,0,0,1,0.0,1.0986122886681098,1.0986122886681098,0.0,1.3862943611198906,0.0,0.0,0.0
11,"I think that the US, I answered that the US should lower it. Um not too strongly but just moderately I agree with the statement is because um..I'm so I'm from Korea and drinking age  in Korea is 19. And so I was.. I guess I was shocked when I came to the US. I thought it was 21. . And I-I well, the reason is I noticed that people drink anyway, you know, . They don't really um like in high schools and stuff. If if theoretically, we were to to lower it, I felt like it wasn't really change anything.. So I think that's why I moderately agreed with this statement [laughs] . Yea . . Sure, like 19 could be fine I guess..and I-I- get, I unders ike, . Yeah . . I guess the reason maybe that I feel like, perhaps this is not the right approach is if you if the intention on maybe having a higher drinking age is to prevent um, you know, reckless behavior, or, I don't know, reckless behavior among teenagers when they drink. I feel like my a more um effective approach would be like to educate. Do more education about how to drink safely rather than imposing it   As a law, um so, yeah, Yeah, it works. I mean,  . Yeah..  mhm",NB,B_6,12,B,0,1,7,1,6,1,2,1,0.0,0.0,1.9459101490553132,0.0,1.791759469228055,0.0,0.6931471805599453,0.0
12,"Okay, um, so I put a four, I like very minorly disagree um because ok.. I definitely get annoyed when, like, parents just like sit down their kid and they're like, here look at the  look the iPad. Um because like...yeah, I mean, I'm sure... yeah, you know..Um but I think sometimes they can be really helpful like if they if it helps them, like, focus on like an educational program that like maybe helps them like, learn math to . Like yeah, get better or like have um, I don't know, have like a head start before starting school. Um or like maybe the parents aren't very available because they have really tight work schedules. Or like, are in a working class family and they just like need to, like have this way of teaching their kid something. Um I don't think it's ideal, but I think it can help in certain circumstances. Okay. Okay. ohh. Yea. . Yeah, I agree with those points. But I think like, some people, like don't have the resources to, like, be there all the time with their kids, or like, um they're just like in a really bad situation. Or um like they, they can't really hire someone because it's really expensive. Um and like, I think if there is a solution then like that, could be one, ok, like, really developed apps or something, that like know childhood development um that could help especially if the parents are not educated in like early childhood development, which many are not they're like not prepared in that way. So, I think that could potientially work. . I do see your point ",NB,A_7,6,A,0,4,3,1,11,0,1,1,0.0,1.3862943611198906,1.0986122886681098,0.0,2.3978952727983707,0.0,0.0,0.0
13,"I disagree. . I put I put a 10 for this. . Looking at the question, uhh toddlers to be implied, well, you're probably under 8 maybe under six. So have like using IPads is really, really bad for their sight and it's going to have . long term consequences. I think just using um trying any device  all is really bad because you're not socializing. Usually if they're learning something, they're going to be with a teacher, a parent, some human interaction which is like fundamental to the early childhood development. You're  not getting that with this. .   And I think also, such early iPad use early really just encourages that idea of like these things are normalized and should be in major part of life which really they shouldn't and they should only be a tool rather than, like a, an attachment means to achieving things. So then yea, I disagree with that.   Yea. I think you're missing a point because still it would be really bad for their health, their eyesight and ",NB,B_7,6,B,0,0,1,0,2,0,0,0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,0.0
14,"Yea, that's fair..um I think for me uhh..I think it comes from like more personal experience like with my family like umm with, like how school sometimes will try to meet certain needs of like certain ethnic backgrounds based on like, what they want their numbers to look like, right? Like percentage wise. Umm but I totally understand like what you're saying. [laughs] Yeah, yea there's like always two sides to every .  Everything and like, I think it just depends on like, to your personal experience and like,how things have affected you in your life like like with uhh how you like to think. . Yeah, yeah . .  Yeah  Yeah  Yeah  .  Yeah  . . Yeah, I agree umm Yeah, and I think that's really relevant with like, how like, obviously we have like patterns and like how socially like socially things are broken up like hierarchy wise there are obviously patterns and like resources for people and like I obviously want that and it's very relevant um as far as that goes um  I think like yeah, I mean, I think that's very specific and interesting that they chose that, but umI don't know I guess like I don't know I think of I guess it's a you're, I'm assuming a student also?. Um I think like because we're also at like a higher level of school, I think that's probably trying to like really  Yeah, yeah, I see what you mean?  laughs. I think if it was like a public school, there would be like, because Ivy league schools  are obviously like,more exclusive .. Um I think that kind of like changes the way that makes up students as far as like, requirements, so I think it's more // in that way like, obviously .  people want",TYB,A_8,5,A,0,0,15,1,10,2,0,2,0.0,0.0,2.70805020110221,0.0,2.302585092994046,0.6931471805599453,0.0,0.6931471805599453
15,"Umm I think..I mean I'm a fan of affirmative action.. my family is a black umm so it was like beneficial, yeah that's basically it [laughs] Yea, I think both of us agree [laughs]  .  Yeah . . I agree, I also think like, in an ideal world I would also think it should be blind.. you know what I mean?. Like I think if like public schools are better and everybody had equal opportunities  and like treated everyone fairly then like   Um so I think ideally, like, some schools wouldn't have to request like the breakdown of society .  like that should happen naturally 'cause it doesn't right now. I don't know.  Yea, I think it's interesting that they're like I agree, especially  . Yeah. . No yeah I guess I was just thinking like, I wonder if I would change my opinion if it were like a public school or like, I wonder if that matters? Like, I don't know. Cause, like....yeah, I don't know. I don't know. . How that changes things   mhmm.  Yeah ",TYB,B_8,5,B,0,1,9,3,3,2,1,4,0.0,0.0,2.1972245773362196,1.0986122886681098,1.0986122886681098,0.6931471805599453,0.0,1.3862943611198906
16," [laughs] Yeah  Sorry, I can't hear Yeah, yeah go ahead [laughs]. Wh-what's a seminar? I'm sorry, can you just  Or, um I guess when you say seminar do you mean like a a discussion?  mhm.  Yeah . . I-I would agree that I think that that situation is rude actually. Um, the thing I disagree with is that people should never be allowed to be on their phones and text. Um I am a big proponent of people, you know, family dinners and big events being times to focus on your family and, and be present with them. Um but I do think there's exceptions to that. Um I mean, there's cases where people have things that they need to check uh things in their life that are important. And there are also times when if you're in situations that are uhh very social, and maybe it's a group and things that take a long time and sometimes people leave alone to sort of, you know collect their thoughts and be with themselves for a second .. So I guess the part I disagree with is the never part. . Not necessarily that people should be in the moment and be present with things that are going on. . Yeah . ",NB,A_9,14,A,0,1,5,1,7,2,2,0,0.0,0.0,1.6094379124341003,0.0,1.9459101490553132,0.6931471805599453,0.6931471805599453,0.0
17,"Oh, okay, um, so I felt like uh I feel like I ranked pretty high in terms of like, never I-I think I don't know how you would enforce a never   talk on the phone like I don't know how to enforce that but I do think like people who like have conversation  shouldn't talk on the phone, while they're having a conversation. I think that's disrespectful. Umm I think last yesterday even, when I went to like a seminar and like the woman who was holding the seminar at a certain point, like, pulled out her phone  Oh, okay So one of women on a seminar like who was holding a seminar, like, pulled out her phone in the middle of the seminar and just started like, I knew it was like urgent. But she didn't even like tell anyone, so this guy was just like talking and she was just like on her phone  It was um it was like Jane /. It was about, about conservatism.  Yeah it was a discussion, it was like a..it's around a table. And um it was just like a, probably around like 10 people there. And she was kind of leading the discussion. And then she was asking people questions .. And um some guy, a guy started talking. And um.. so he started talking and as he was talking, she, like, pulled out her phone because I think she got //. But she didn't like look up at him and was like, wait, hold up. So as he was talking to students, she was just going like this uh-uh. And then just like kept, and so it was just kind of like, it put me off.. I don't know about you.  mhm. Yeah . . Yeah, I do feel like in that way we kind of align. I-I also do think that like, there are moments where like, you might have something going on in your life and you're like, unable or like even if it means like texting like I know, um yesterday, like my professor was this is not like a family dinner, but like he was talking and I was just like  on my phone like, waiting to see my grade for something.. I was like scared you know, like, I think like, I feel like there's all these people are like wait, like, I don't I don't know if I think that people should have their phones with them, like next to them, or if it's just like I have ",NB,B_9,14,B,0,6,3,0,10,0,1,4,0.0,1.791759469228055,1.0986122886681098,0.0,2.302585092994046,0.0,0.0,1.3862943611198906
18," Like on a plane  .  Yeah . . Right, so I'm super impulsive, and I didn't think before I tapped, I 100% agree. So I yeah, I see that. As soon as he put it down and I saw never I was like but what about on planes. Um, so my I had I have strong opinions about this because I was a waitress for a summer. And every single family that came in just stuck an iPad under their kids face and it was really scary. Pretty much dystopian. To see, like all these babies just like staring at the ipads. . And I um, what I ended up concluding that summer was that for parents to do it once it becomes so enticing to do it again, that it and especially if the kid has seen it once they know what they want. So it's, like better not to establish a first time and just do it because it always worked before ipads were a thing. .  Yeah . . [laughs]. . Yeah, especially because the shows and the apps often are..They're not as cultivated it's a lot of white noise content now um  ",TYB,A_10,6,A,0,0,6,1,3,1,0,0,0.0,0.0,1.791759469228055,0.0,1.0986122886681098,0.0,0.0,0.0
19,"Um. So I disagree with this  because um I think never is a strong word. I think that if this prompt had said parents should usually not use iPads as toys for their toddlers, I would have strongly agreed, but I think there are some circumstances where uh getting a toddler to sort of be quiet   For example, on a plane .  or uh in a private public space some times like that where the iPad can be like the only thing that works so that's that's where I sort of am coming from.  . Yeah. . That's totally true. And I feel like you're right that if it were never established, it would never become a crutch. Um I think it's unfortunate that it has become a crutch. So perhaps in that for that reasoning, you know, your your you're right that, just never ever doing it [coughs] would avoid the problem completely. Um but I don't know, I still feel like you know, given that there are tools now and maybe society's expectations of children being quiet have also developed and changed  .  among their iPads becoming a thing that, for example, on a plane or, or, yeah, you know, somewhere where it's even potentially, like dangerous for the kid to be running around. Um and they just need to like, sit quiet in their stroller or whatever. In rare circumstances. I feel like the iPad can be a very useful toy, but I agree that it can get a little extreme. And the scenario you described in the restaurant, I agree is dystopia and very, very bad. . Bodes poorly for the future. . Yeah",TYB,B_10,6,B,0,0,3,2,7,0,3,1,0.0,0.0,1.0986122886681098,0.6931471805599453,1.9459101490553132,0.0,1.0986122886681098,0.0
20,"Uhh I really appreciate your point of view . um that I actually think um not so strongly agree, but I think uhh it can actually lower a little bit. Uhh I really agree that teenagers are really hard to control themselves. But I think like, um for examples for me, I'm like 18 years old ., so I think as an adult, I think I actually have ability to control myself and make my own decision .. So uh my point of view is just like a lower the legal drinking age, but not so low. Yeah, and I also think like, for like some teenagers . maybe like of our ages, if you like prohibit . them to drink the alcohol then some of them may have some like sense of rebellion, . and even try harder uh and do not have some really correct perspective about this so.  Yeah. [laughs]  Yeah. I think 18 is / ",TYB,A_11,12,A,1,0,3,2,8,1,0,0,0.0,0.0,1.0986122886681098,0.6931471805599453,2.0794415416798357,0.0,0.0,0.0
21,"Okay, so I put strongly agree, because I just feel like the legal age right now is 21. I believe right? Yeah. So I feel like teenagers are too reckless. So I don't think that they'll be responsible for their actions. Because when you're in a intoxicated state, it's really hard for you to control your bodies, especially for teenagers, because they just started and they just finished puberty too. So I feel like the US should just keep what the age is right now. Yeah [laughs].  laughs. mhm. mhm. Mmhm okay.That's a good point, actually [laughs]. Yeah, I was thinking about that, but then I don't know I think you kind of convinced me there 'cause if you think about it...Since the, uh the age is so high that we like teenagers do things more recklessly while you // [laughs]  mhm. mhm. mhm. That's a very good point [laughs] . I was just thinking of like the consequences that can come from it, but then like, that's actually a very good point. Because if we would like preventing them for doing things that is just going to make them want to do it even more.  What age are you thinking of? Like 18? Yes, that's true. 18 wouldn't be so bad. I just feel like this is we just got out of college you know, so yeah, I mean, not college, high school so yeah, but yeah.[laughs]",TYB,B_11,12,B,0,8,6,1,1,5,1,1,0.0,2.0794415416798357,1.791759469228055,0.0,0.0,1.6094379124341003,0.0,0.0
22," mhm. mhm. mhm. mhm. mhm. mhm. Ohhh, okay, well, at first, I was going to agree, but after hearing what you said, it does make sense. Umm [laughs].Let me think about this at first, I was going to agree with it. Like when I did it on the survey, I kind of agreed that they should be blind to like, their race and ethnicity . because sometimes I feel like it could affect like, their decision, although, of course, they look at test scores . and stuff, but I don't know I feel like race always has to, like do something with like decision making . because of like, just how society is like . , you know, when we just yeah, I don't know I feel like /.  Yeah, but then when when hearing about like, how if you say like, if we don't, then we might have like a school full of like a certain amount of race .. Like it also makes sense why we why they shouldn't be completely blind to us. So now I'm at like a 50/50 [laughs].  mhm. mhm. mhm. Yeah . .  true . .  that's also yeah you can kind of tell by the last name as well. . Yeah",NB,A_12,5,A,0,10,3,3,1,1,1,2,0.0,2.302585092994046,1.0986122886681098,1.0986122886681098,0.0,0.0,0.0,0.6931471805599453
23,"Umm okay, so I said Ivy schools should be.. I completely disagree with this statement because I think umm there's a lot of inequality in the world. And I think that a lot of things like test scores and um recommendations ... are there's a lot of privilege inherent in like test scores. Um I know people who are able to pay for test prep . and they're like the class is like $300 . so there's a lot of inequality disparity for test prep .. And so if you just base things off of like scores or who has access to teachers, who will write them recommendations, or um just a lot of factors that are paying for application factors like that are like hindrances to um to the application process and to help stronger an application may look .. And so I think that if you don't account for privilege, the most privileged people will look better in your eyes .. And then so if you don't account for race, you might end up with a campus of all white privileged people.  mhm. mhm. mhm. mhm. mhm. And like this is not to say that like, only white students are like the best students . .  I think diversity is like, for a lot of schools an important aspect . . You can't like make diversity  a goal if you don't account for it. .  So and I mean, I mean it does, like suck, that that's where our society is at, but we have to be proactive with like, the issues that we have .. So and there's no such thing as like, the blind.   mhm. To race, like what if they write about race and ethnicity and their um like essays .  there's no, there's no such thing as like being blind to a canidate's race or if their name, like you know how names are //   So there's like really no such thing. ",NB,B_12,5,B,0,7,0,0,7,0,1,0,0.0,1.9459101490553132,0.0,0.0,1.9459101490553132,0.0,0.0,0.0
24,"Uh. Should implys that it is a right. .. And since they don't own the home or own the room or the doors or anything it's the land-owning person . Uhh of course, they may ask for one . But um should implies like some sort of right or land owning right or something. . I guess I. {}{{{{{{{}}}}}}} . Yeah . . But do you think locks are relevant to privacy? I mean  Yeah  You can still have privacy without locks, it's about trust and  . Yeah . .  Yeah . . Umm if it's at a point where someone needs to have a lock, I would say there's just no trust and uh .  You know..That's the yeah, like there's no there's no trust or or or there's no respect for each other's privacy and so a lot kind of, you know, yeah, prevents any uhh any breaches or any you-you- know, yeah I don't know.  .  Yeah  Sure . .  Sure . .  Yeah . . That's and that's and that's a funny  .  Sure . .  Intersting .  Huh.  Yeah . .  Yeah, yeah, maybe they care too much, so to speak? .  Sure, yeah . .  No . ",NB,A_13,10,A,0,0,15,0,6,0,2,1,0.0,0.0,2.70805020110221,0.0,1.791759469228055,0.0,0.6931471805599453,0.0
25," Yeah. Right, 100%. . Right  . . Yeah . . I-I agree that a lot of th-th-the question or th-th-the scenarios had like strong words. . Denoted to them. And so that's why I didn't go all the way on either end, but it felt like um at that age, privacy is more like starts to become more more important than like, if they had said, like, you know, middle schoolers or someone like younger than that, I would have been like, this isn't even a scenario to worry about. But that's why I leaned on the other side of the five   Not not super extreme on that end. That's a good question  Right  Right, no hundred percent. And I think it might be about like how people are raised  .  or what they're used to . Like, like for bathrooms, a lot of like households don't even have locks on bathrooms. It's like if the door is closed, then you should knock before entering. Umm do you think that comes from a lack of trust, or  .  Oooh  . . Well it's funny because like when I'm back home whenever, like, I'm getting out of the shower going in my room to change.  I will. The first thing I'll do is like, lock my door, right? Close my door .  lock my door, and then I'll change .  And here when I live with roommates that I don't know as well. .  I actually never lock my door.   Yeah, because I know that they're not even gonna like, like, why would they even come up to my room? Or . You know what I mean? So it's almost as if, like, I'm, like, more open to leaving my door unlocked .  with people that I don't even know. . But with my parents .  Or just my family  I don't know ma-maybe because yeah, maybe like, I mean, we're taught to knock on doors, but maybe I haven't feeling like oh someone's just gonna like barge in or something . It's like weird and I don't know if it's a trust thing .   Or if it's just how I was raised. ",NB,B_13,10,B,0,1,8,1,2,0,2,3,0.0,0.0,2.0794415416798357,0.0,0.6931471805599453,0.0,0.6931471805599453,1.0986122886681098
26,"Like sometimes it just wanted something that's not that healthy or something like that, but .  I think just high school should have the option to .  be able to offer that. But as I said, I do kind of think that you know, most food that high schools offer should be healthy. It's just not a flexibility sort of thing. . Yeah. . Yeah that's true. {{}} .  Yeah . . Yea, that's pretty fair. Yeah, that kind of like that they don't they don't give you a choice then you have no choice what so ever   . Yeah, yeah.. .  Yeah . . [laughs]. . Really true. Another thing is like, uh probably bills might be more expensive // .  if they mandated only just like healthy meals that . -then uh that's a little harder to work around that if you're trying to come up with meals to serve the people.. Or stuff, you could like have alot of other options as well. Yeah,  so it might be harder  to offer like low income uh. student lunches. Yeah, that's hard [laughs] Yeah, it's like, certain meals can be healthy or not depending on like.Your own medical conditions,Like your overall diet. It's hard to know. [laughs] . Yeah.. . Yeah. . ",TYB,A_14,4,A,0,0,13,0,3,3,1,0,0.0,0.0,2.5649493574615367,0.0,1.0986122886681098,1.0986122886681098,0.0,0.0
